Symbol,ExpirationDate,AskPrice,AskSize,BidPrice,BidSize,LastPrice,PutCall,StrikePrice,Volume,ImpliedVolatility,Delta,Gamma,Vega,Rho,OpenInterest,UnderlyingPrice,DataDate
AAPL,2016-02-26,42.75,,39.5,,0,call,55,0,6.0762,0.9288,0.3151,0.9661,,0,96.1,2016-02-24
AAPL,2016-02-26,0.05,,0,,0,put,55,0,3.1815,-0.0064,0.0794,0.1274,,0,96.1,2016-02-24
AAPL,2016-02-26,31.3,,30.95,,0,call,65,0,2.8351,0.9756,0.2842,0.4065,,0,96.1,2016-02-24
AAPL,2016-02-26,0.03,,0,,0.03,put,65,0,2.1637,-0.0058,0.1072,0.117,,18,96.1,2016-02-24
AAPL,2016-02-26,26.3,,26,,24.7,call,70,0,2.3682,0.9711,0.3916,0.468,,0,96.1,2016-02-24
AAPL,2016-02-26,0.03,,0,,0.03,put,70,0,1.7914,-0.007,0.1523,0.1377,,563,96.1,2016-02-24
AAPL,2016-02-26,21.3,,21,,21.22,call,75,0,1.9257,0.9651,0.5639,0.5479,,0,96.1,2016-02-24
AAPL,2016-02-26,0.01,,0,,0.01,put,75,0,1.2665,-0.0035,0.1174,0.075,,1878,96.1,2016-02-24
AAPL,2016-02-26,20.3,,20,,0,call,76,0,1.8394,0.9636,0.6109,0.567,,0,96.1,2016-02-24
AAPL,2016-02-26,0.01,,0,,0.02,put,76,0,1.2054,-0.0037,0.129,0.0785,,1739,96.1,2016-02-24
AAPL,2016-02-26,19.3,,19,,0,call,77,0,1.7536,0.962,0.6635,0.5871,,0,96.1,2016-02-24
AAPL,2016-02-26,0.01,,0,,0.01,put,77,100,1.1444,-0.0039,0.142,0.082,,303,96.1,2016-02-24
AAPL,2016-02-26,18.3,,18,,0,call,78,0,1.6685,0.9603,0.7232,0.6089,,0,96.1,2016-02-24
AAPL,2016-02-26,0.04,,0,,0.03,put,78,0,1.2833,-0.0123,0.3501,0.2267,,50,96.1,2016-02-24
AAPL,2016-02-26,17.3,,17,,15.85,call,79,0,1.5846,0.9583,0.7916,0.6329,,10,96.1,2016-02-24
AAPL,2016-02-26,0.01,,0,,0.01,put,79,0,1.0254,-0.0044,0.1755,0.0908,,927,96.1,2016-02-24
AAPL,2016-02-26,16.3,,16,,15,call,80,0,1.5007,0.9562,0.8695,0.6584,,113,96.1,2016-02-24
AAPL,2016-02-26,0.01,,0,,0.01,put,80,25,0.9644,-0.0046,0.1941,0.0945,,8098,96.1,2016-02-24
AAPL,2016-02-26,15.3,,15,,0,call,81,0,1.4172,0.9539,0.9593,0.686,,0,96.1,2016-02-24
AAPL,2016-02-26,0.01,,0,,0.01,put,81,49,0.9064,-0.0049,0.2192,0.1003,,1534,96.1,2016-02-24
AAPL,2016-02-26,14.3,,14,,0,call,82,0,1.334,0.9514,1.064,0.7162,,0,96.1,2016-02-24
